town,flat_type,transactions_all_period,median_resale_price_all_period,median_price_per_sqm_all_period,transaction_value_all_period,transaction_value_billion_all_period,transactions_2025,median_price_per_sqm_2025,transaction_value_2025,transactions_2024,median_price_per_sqm_2024,transaction_growth_pct,price_growth_pct,segment,annual_sample_ok
ANG MO KIO,3 ROOM,5102,350000.0,4903.275,1832567328.0,1.832567328,535.0,6189.53,243380138.0,571.0,5820.9,-6.304728546409811,6.332869487536286,ANG MO KIO — 3 ROOM,True
ANG MO KIO,4 ROOM,2798,515000.0,5543.48,1596732782.76,1.59673278276,282.0,6368.635,195248411.88,308.0,6097.83,-8.441558441558438,4.4410060628125025,ANG MO KIO — 4 ROOM,True
ANG MO KIO,5 ROOM,1440,745000.0,6200.0,1108614961.76,1.10861496176,123.0,7091.5,115149884.0,144.0,6672.32,-14.583333333333337,6.28237254807924,ANG MO KIO — 5 ROOM,True
BEDOK,3 ROOM,5094,340000.0,4939.02,1786031554.0,1.786031554,498.0,6323.53,223772845.0,536.0,5846.15,-7.0895522388059735,8.165715898497306,BEDOK — 3 ROOM,True
BEDOK,4 ROOM,4342,488000.0,5225.95,2280569142.0,2.280569142,447.0,6373.63,292198187.0,452.0,5954.450000000001,-1.106194690265483,7.039776973523981,BEDOK — 4 ROOM,True
BEDOK,5 ROOM,2239,638000.0,5294.12,1475302856.0,1.475302856,178.0,6333.610000000001,139004067.0,252.0,6199.175,-29.36507936507936,2.1685950146592248,BEDOK — 5 ROOM,True
BEDOK,EXECUTIVE,611,820000.0,5592.11,508531779.0,0.508531779,59.0,6760.56,60441904.0,61.0,6630.14,-3.2786885245901676,1.9670776182705074,BEDOK — EXECUTIVE,True
BISHAN,4 ROOM,2006,613944.0,6250.0,1277706580.0,1.27770658,178.0,7965.37,139779020.0,187.0,7641.51,-4.8128342245989275,4.238167587296227,BISHAN — 4 ROOM,True
BISHAN,5 ROOM,1234,823500.0,6677.69,1055449793.76,1.05544979376,98.0,8256.77,103316872.0,105.0,7851.24,-6.666666666666665,5.165171361466481,BISHAN — 5 ROOM,True
BUKIT BATOK,3 ROOM,2994,348000.0,5068.49,1043513905.0,1.043513905,338.0,6095.89,146718619.0,428.0,5798.55,-21.028037383177566,5.12783368255858,BUKIT BATOK — 3 ROOM,True
BUKIT BATOK,4 ROOM,4349,515000.0,5297.62,2262246467.0,2.262246467,548.0,6659.42,339729910.0,810.0,6451.61,-32.34567901234568,3.2210564494754124,BUKIT BATOK — 4 ROOM,True
BUKIT BATOK,5 ROOM,1800,720000.0,6074.38,1251915806.76,1.25191580676,267.0,7123.89,214560101.0,305.0,6562.5,-12.459016393442624,8.554514285714298,BUKIT BATOK — 5 ROOM,True
BUKIT BATOK,EXECUTIVE,758,728000.0,4975.799999999999,554749901.75,0.55474990175,72.0,5866.67,63200792.0,75.0,5777.03,-4.0000000000000036,1.5516623593784473,BUKIT BATOK — EXECUTIVE,True
BUKIT MERAH,3 ROOM,3230,383444.0,5810.645,1420413219.88,1.4204132198800001,349.0,6584.62,181673088.0,378.0,6226.49,-7.671957671957674,5.751715653602596,BUKIT MERAH — 3 ROOM,True
BUKIT MERAH,4 ROOM,3574,760000.0,8178.0,2688121779.88,2.68812177988,383.0,10107.53,340761667.0,433.0,9677.42,-11.547344110854507,4.444469703702025,BUKIT MERAH — 4 ROOM,True
BUKIT MERAH,5 ROOM,1931,848000.0,7163.64,1670989305.88,1.67098930588,167.0,9126.98,178394702.0,183.0,8228.35,-8.743169398907103,10.921144579411424,BUKIT MERAH — 5 ROOM,True
BUKIT PANJANG,3 ROOM,1038,350000.0,5044.78,376325717.0,0.376325717,101.0,6562.5,46839904.0,119.0,5753.42,-15.126050420168069,14.062592336384272,BUKIT PANJANG — 3 ROOM,True
BUKIT PANJANG,4 ROOM,3956,460000.0,4854.37,1854098594.8,1.8540985948,383.0,6131.87,225258276.0,370.0,5644.799999999999,3.513513513513522,8.628649376417252,BUKIT PANJANG — 4 ROOM,True
BUKIT PANJANG,5 ROOM,2489,570000.0,4917.36,1440189751.0,1.440189751,209.0,6318.18,152492066.0,275.0,5709.09,-24.0,10.668775584199942,BUKIT PANJANG — 5 ROOM,True
BUKIT PANJANG,EXECUTIVE,870,700000.0,5017.125,612736567.88,0.61273656788,80.0,5958.9,69955551.0,85.0,5985.71,-5.882352941176472,-0.4479000820287071,BUKIT PANJANG — EXECUTIVE,True
CENTRAL AREA,3 ROOM,760,448000.0,7000.0,342503123.0,0.342503123,74.0,8386.58,38977628.0,81.0,7678.57,-8.64197530864198,9.220597064297142,CENTRAL AREA — 3 ROOM,True
CENTRAL AREA,4 ROOM,750,841500.0,9293.04,645290004.0,0.645290004,68.0,13107.27,73358040.0,67.0,9390.24,1.4925373134328401,39.58397229463784,CENTRAL AREA — 4 ROOM,True
